KEY,data_project_code,data_supp_hard_WM_community_pond,data_supp_hard_WM_rainwater,data_supp_hard_WM_dam,data_supp_hard_WM_watershed,data_supp_soft_WM_tech,data_supp_soft_WM_other,data_hard_infra_supp_CE_street,data_hard_infra_supp_CE_homesolar,data_hard_infra_supp_CE_bio_mass,data_hard_infra_supp_CE_community_biogas,data_hard_infra_supp_CE_houshold_biogas,data_hard_infra_supp_plantation_farmland,data_hard_infra_supp_plantation_forest,data_hard_infra_supp_plantation_community_lan,supp_hard_WM_community_pond_priority,supp_hard_WM_rainwater_priority,supp_hard_WM_dam_priority,supp_hard_WM_watershed_priority,supp_soft_WM_tech_priority,supp_soft_WM_other_priority,hard_infra_supp_CE_street_priority,hard_infra_supp_CE_homesolar_priority,hard_infra_supp_CE_bio_mass_priority,hard_infra_supp_CE_community_biogas_priority,hard_infra_supp_CE_houshold_biogas_priority,hard_infra_supp_plantation_farmland_priority,hard_infra_supp_plantation_forest_priority,hard_infra_supp_plantation_community_land_priority,supp_hard_WM_community_pond_sufficency,supp_hard_WM_rainwater_sufficency,supp_hard_WM_dam_sufficency,supp_hard_WM_watershed_sufficency,supp_soft_WM_tech_sufficency,supp_soft_WM_other_sufficency,hard_infra_supp_CE_street_sufficency,hard_infra_supp_CE_homesolar_sufficency,hard_infra_supp_CE_bio_mass_sufficency,hard_infra_supp_CE_community_biogas_sufficency,hard_infra_supp_CE_houshold_biogas_sufficency,hard_infra_supp_plantation_farmland_sufficency,hard_infra_supp_plantation_forest_sufficency,hard_infra_supp_plantation_community_land_sufficency,data_supp_hard_WM_community_pond_score_type_1,data_supp_hard_WM_rainwater_score_type_1,data_supp_hard_WM_dam_score_type_1,data_supp_hard_WM_watershed_score_type_1,data_supp_soft_WM_tech_score_type_1,data_supp_soft_WM_other_score_type_1,data_hard_infra_supp_CE_street_score_type_1,data_hard_infra_supp_CE_homesolar_score_type_1,data_hard_infra_supp_CE_bio_mass_score_type_1,data_hard_infra_supp_CE_community_biogas_score_type_1,data_hard_infra_supp_CE_houshold_biogas_score_type_1,data_hard_infra_supp_plantation_farmland_score_type_1,data_hard_infra_supp_plantation_forest_score_type_1,data_hard_infra_supp_plantation_community_lan_score_type_1,supp_hard_WM_community_pond_efficiency,supp_hard_WM_rainwater_efficiency,supp_hard_WM_dam_efficiency,supp_hard_WM_watershed_efficiency,supp_soft_WM_tech_efficiency,supp_soft_WM_other_efficiency,hard_infra_supp_CE_street_efficiency,hard_infra_supp_CE_homesolar_efficiency,hard_infra_supp_CE_bio_mass_efficiency,hard_infra_supp_CE_community_biogas_efficiency,hard_infra_supp_CE_houshold_biogas_efficiency,hard_infra_supp_plantation_farmland_efficiency,hard_infra_supp_plantation_forest_efficiency,hard_infra_supp_plantation_community_land_efficiency,supp_hard_WM_community_pond_quality,supp_hard_WM_rainwater_quality,supp_hard_WM_dam_quality,supp_hard_WM_watershed_quality,supp_soft_WM_tech_quality,supp_soft_WM_other_quality,hard_infra_supp_CE_street_quality,hard_infra_supp_CE_homesolar_quality,hard_infra_supp_CE_bio_mass_quality,hard_infra_supp_CE_community_biogas_quality,hard_infra_supp_CE_houshold_biogas_quality,hard_infra_supp_plantation_farmland_quality,hard_infra_supp_plantation_forest_quality,hard_infra_supp_plantation_community_land_quality,data_supp_hard_WM_community_pond_score_type_2,data_supp_hard_WM_rainwater_score_type_2,data_supp_hard_WM_dam_score_type_2,data_supp_hard_WM_watershed_score_type_2,data_supp_soft_WM_tech_score_type_2,data_supp_soft_WM_other_score_type_2,data_hard_infra_supp_CE_street_score_type_2,data_hard_infra_supp_CE_homesolar_score_type_2,data_hard_infra_supp_CE_bio_mass_score_type_2,data_hard_infra_supp_CE_community_biogas_score_type_2,data_hard_infra_supp_CE_houshold_biogas_score_type_2,data_hard_infra_supp_plantation_farmland_score_type_2,data_hard_infra_supp_plantation_forest_score_type_2,data_hard_infra_supp_plantation_community_lan_score_type_2,supp_hard_WM_community_pond_sustainbility,supp_hard_WM_rainwater_sustainbility,supp_hard_WM_dam_sustainbility,supp_hard_WM_watershed_sustainbility,supp_soft_WM_tech_sustainbility,supp_soft_WM_other_sustainbility,hard_infra_supp_CE_street_sustainbility,hard_infra_supp_CE_homesolar_sustainbility,hard_infra_supp_CE_bio_mass_sustainbility,hard_infra_supp_CE_community_biogas_sustainbility,hard_infra_supp_CE_houshold_biogas_sustainbility,hard_infra_supp_plantation_farmland_sustainbility,hard_infra_supp_plantation_forest_sustainbility,hard_infra_supp_plantation_community_land_sustainbility,supp_hard_WM_community_pond_current_status,supp_hard_WM_rainwater_current_status,supp_hard_WM_dam_current_status,supp_hard_WM_watershed_current_status,supp_soft_WM_tech_current_status,supp_soft_WM_other_current_status,hard_infra_supp_CE_street_current_status,hard_infra_supp_CE_homesolar_current_status,hard_infra_supp_CE_bio_mass_current_status,hard_infra_supp_CE_community_biogas_current_status,hard_infra_supp_CE_houshold_biogas_current_status,hard_infra_supp_plantation_farmland_current_status,hard_infra_supp_plantation_forest_current_status,hard_infra_supp_plantation_community_land_current_status
uuid:0055b0b6-328f-4d28-93af-bee438c485f0,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,
uuid:00accee2-1cd6-4b7a-92c0-0deb395d3c25,P0357,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,
uuid:00bc2b9c-7afe-44b9-98b9-fa141b97b216,P0349,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,
uuid:011951c2-a04a-4572-a78a-6945bbb86d10,P0338,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,
uuid:a86ac077-5d39-40cb-8dee-765de574b414,P1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
uuid:049cf5c2-2c11-4ed9-96d9-620cdd4efb37,P0326,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,
uuid:05106c52-3502-44b6-bed1-b2f53f316196,P0338,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,
uuid:0543c723-ed0b-4550-bdaa-02ef699ddf9d,P0359,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,
uuid:05fadba6-0ae3-499e-a8a0-55d9f424e4c2,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:09321bb8-c743-40ab-bde4-26777402f4ed,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,
uuid:094bed38-996f-49e9-8ad3-0602efbf3bec,P0359,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,
uuid:01a1a4e5-c3bc-4b4e-a2b8-96eec5895fa8,P0357,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,
uuid:02d89bea-30e5-4bfb-b8dd-651b4eb22c29,P0357,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,
uuid:030285a9-f926-4546-bf21-767fd421c3ae,P0359,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
